Date,Open,High,Low,Close,Volume,Adj Close
2015-06-26,83.93,83.93,83.830002,83.830002,500,83.830002
2015-06-25,84.32,84.32,84.32,84.32,000,84.32
2015-06-24,84.32,84.32,84.32,84.32,300,84.32
2015-06-23,84.410004,84.470001,84.410004,84.470001,1100,84.470001
2015-06-22,84.720001,84.720001,84.720001,84.720001,500,84.720001
2015-06-19,85.25,85.25,85.220001,85.220001,300,85.220001
2015-06-18,84.769997,84.769997,84.540001,84.639999,1300,84.639999
2015-06-17,84.57,84.610001,84.529999,84.529999,900,84.529999
2015-06-16,84.809998,84.809998,84.809998,84.809998,500,84.809998
2015-06-15,84.580002,84.580002,84.50,84.50,300,84.50
2015-06-12,84.50,84.68,84.50,84.599998,500,84.599998
2015-06-11,83.980003,84.360001,83.970001,84.349998,3500,84.349998
2015-06-10,83.709999,83.889999,83.709999,83.889999,600,83.889999
2015-06-09,84.00,84.019997,84.00,84.019997,500,84.019997
2015-06-08,84.339996,84.400002,84.339996,84.400002,1100,84.400002
2015-06-05,84.190002,84.190002,84.190002,84.190002,200,84.190002
2015-06-04,84.760002,84.889999,84.730003,84.889999,1000,84.889999
2015-06-03,84.629997,84.629997,84.629997,84.629997,600,84.629997
2015-06-02,85.099998,85.099998,85.099998,85.099998,600,85.099998
2015-06-01,85.669998,85.800003,85.580002,85.620003,900,85.620003
2015-05-29,86.209999,86.209999,86.080002,86.080002,400,86.080002
2015-05-28,86.010002,86.120003,86.010002,86.120003,700,85.960002
2015-05-27,85.900002,86.089996,85.800003,86.089996,900,85.930052
2015-05-26,85.370003,85.370003,85.370003,85.370003,000,85.211396
2015-05-22,85.599998,85.68,85.370003,85.370003,600,85.211396
2015-05-21,85.57,85.57,85.57,85.57,200,85.411021
2015-05-20,85.260002,85.260002,85.260002,85.260002,100,85.1016
2015-05-19,85.139999,85.32,85.110001,85.25,3100,85.091616
2015-05-18,85.690002,85.690002,85.489998,85.489998,1200,85.331168
2015-05-15,85.879997,86.139999,85.879997,86.139999,400,85.979962
2015-05-14,85.449997,85.449997,85.43,85.43,1800,85.271282
2015-05-13,85.480003,85.480003,85.480003,85.480003,4900,85.321192
2015-05-12,85.010002,85.419998,84.989998,85.150002,11100,84.991803
2015-05-11,85.589996,85.589996,85.07,85.07,900,84.91195
2015-05-08,85.959999,85.959999,85.959999,85.959999,500,85.800296
2015-05-07,85.330002,85.330002,85.330002,85.330002,000,85.171469
2015-05-06,85.699997,85.699997,85.260002,85.330002,3400,85.171469
2015-05-05,85.660004,85.669998,85.650002,85.650002,600,85.490874
2015-05-04,86.209999,86.209999,85.910004,85.910004,1700,85.750393
2015-05-01,86.25,86.25,85.949997,86.07,9700,85.910092
2015-04-30,86.309998,86.510002,86.309998,86.510002,1300,86.349277
2015-04-29,86.730003,86.730003,86.599998,86.610001,1700,86.44909
2015-04-28,87.25,87.25,87.07,87.07,800,86.908234
2015-04-27,87.440002,87.440002,87.440002,87.440002,000,87.27755
2015-04-24,87.529999,87.529999,87.43,87.440002,2700,87.27755
2015-04-23,87.040001,87.339996,87.040001,87.339996,2600,87.177729
2015-04-22,87.370003,87.370003,87.050003,87.050003,9200,86.888275
2015-04-21,87.639999,87.919998,87.510002,87.510002,13500,87.347419
2015-04-20,87.870003,87.870003,87.589996,87.589996,2500,87.427265
2015-04-17,87.870003,87.870003,87.870003,87.870003,200,87.706751
2015-04-16,87.690002,87.800003,87.690002,87.800003,1000,87.636881
2015-04-15,87.809998,87.809998,87.669998,87.669998,2000,87.507118
2015-04-14,87.839996,87.93,87.709999,87.709999,2000,87.547045
2015-04-13,87.32,87.529999,87.32,87.32,1600,87.15777
2015-04-10,87.269997,87.269997,87.230003,87.239998,700,87.077917
2015-04-09,87.510002,87.510002,87.129997,87.230003,1900,87.067941
2015-04-08,87.779999,87.779999,87.470001,87.470001,1600,87.307493
2015-04-07,87.540001,87.68,87.389999,87.68,2700,87.517102
2015-04-06,87.830002,87.830002,87.589996,87.589996,300,87.427265
2015-04-02,87.760002,87.760002,87.459999,87.629997,1400,87.467192
2015-04-01,87.580002,87.800003,87.580002,87.709999,9900,87.547045
2015-03-31,87.080002,87.330002,87.080002,87.290001,8000,87.127827
2015-03-30,87.290001,87.290001,87.209999,87.220001,3900,86.898253
2015-03-27,87.010002,87.010002,87.010002,87.010002,000,86.689028
2015-03-26,87.199997,87.199997,87.010002,87.010002,1300,86.689028
2015-03-25,87.739998,87.739998,87.540001,87.540001,3000,87.217072
2015-03-24,87.550003,87.779999,87.550003,87.779999,600,87.456184
